ok  	github.com/n-orlov/deck/cmd/deck	7.324s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.792s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.766s
ok  	github.com/n-orlov/deck/features	307.809s
ok  	github.com/n-orlov/deck/internal/agent	0.005s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.026s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.106s
ok  	github.com/n-orlov/deck/internal/interactive	11.039s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.161s
ok  	github.com/n-orlov/deck/internal/store	2.338s
ok  	github.com/n-orlov/deck/internal/theme	0.004s
ok  	github.com/n-orlov/deck/internal/tmux	19.362s
ok  	github.com/n-orlov/deck/internal/tui	1.214s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
