ok  	github.com/n-orlov/deck/cmd/deck	7.642s
ok  	github.com/n-orlov/deck/cmd/fake-claude	0.796s
ok  	github.com/n-orlov/deck/cmd/fake-pi	0.772s
ok  	github.com/n-orlov/deck/features	317.354s
ok  	github.com/n-orlov/deck/internal/agent	0.003s
ok  	github.com/n-orlov/deck/internal/audit	0.018s
ok  	github.com/n-orlov/deck/internal/config	0.023s
ok  	github.com/n-orlov/deck/internal/hookrecv	4.116s
ok  	github.com/n-orlov/deck/internal/interactive	11.199s
?   	github.com/n-orlov/deck/internal/notify	[no test files]
?   	github.com/n-orlov/deck/internal/search	[no test files]
ok  	github.com/n-orlov/deck/internal/service	4.378s
ok  	github.com/n-orlov/deck/internal/store	2.392s
ok  	github.com/n-orlov/deck/internal/theme	0.005s
ok  	github.com/n-orlov/deck/internal/tmux	19.341s
ok  	github.com/n-orlov/deck/internal/tui	1.431s
?   	github.com/n-orlov/deck/internal/unit	[no test files]
